title,link,country_address,funding_amount,ceo_cto_cfo_name,Article_date,entity_name
bd-capital Raises €430M for Second Fund,https://www.finsmes.com/2025/03/bd-capital-raises-e430m-for-second-fund.html,"{'city': 'bd-capital', 'state': 'None', 'country': 'a London'}","['$430M', 'over €800M.']",[],"March 17, 2025",[]
Maxion Therapeutics Raises $72M in Series A Funding,https://www.finsmes.com/2025/03/maxion-therapeutics-raises-72m-in-series-a-funding.html,"{'city': 'Maxion Therapeutics', 'state': 'None', 'country': 'a Cambridge'}","['$72M', '58']",['Arndt Schottelius'],"March 17, 2025",['Maxion Therapeutics']
Strolll Raises £10.35M in Series A Funding,https://www.finsmes.com/2025/03/strolll-raises-10-35m-in-series-a-funding.html,"{'city': 'Strolll', 'state': 'None', 'country': 'a Stafford'}",['£10.35M'],['Jorgen Ellis'],"March 14, 2025",['Strolll']
Cloud Gateway Raises £1.5M in Funding,https://www.finsmes.com/2025/03/cloud-gateway-raises-1-5m-in-funding.html,"{'city': 'Cloud Gateway', 'state': 'None', 'country': 'a London'}",['£1.5M'],[],"March 14, 2025",[]
Clio Acquires ShareDo,https://www.finsmes.com/2025/03/clio-acquires-sharedo.html,"{'city': 'Clio', 'state': 'None', 'country': 'a Dublin'}",[],[],"March 14, 2025",[]
UiPath Buys Peak,https://www.finsmes.com/2025/03/uipath-buys-peak.html,"{'city': 'UiPath (NYSE: PATH)', 'state': 'None', 'country': 'a NYC-based\xa0enterprise automation and AI\xa0software company'}",[],['Richard Potter'],"March 13, 2025",['UiPath Buys Peak']
ImmuONE Raises £600K in Funding,https://www.finsmes.com/2025/03/immuone-raises-600k-in-funding.html,"{'city': 'ImmuONE', 'state': 'None', 'country': 'a Stevenage'}",['600'],[],"March 13, 2025",[]
Zero Point Motion Raises £4M in Pre-Series A Funding,https://www.finsmes.com/2025/03/zero-point-motion-raises-4m-in-pre-series-a-funding.html,"{'city': 'Zero Point Motion', 'state': 'None', 'country': 'a Bristol'}",['£4M'],[],"March 13, 2025",[]
Botguard Raises €45M in Series B; Rebrands to Blackwall ,https://www.finsmes.com/2025/03/botguard-raises-e45m-in-series-b-rebrands-to-blackwall.html,"{'city': 'Blackwall (fka Botguard)', 'state': 'None', 'country': 'a London'}","['€45M', '100+ service &']",[],"March 13, 2025","['Botguard', 'Blackwall']"
Mimo Raises $8.5M in Equity Round,https://www.finsmes.com/2025/03/mimo-raises-8-5m-in-equity-round.html,"{'city': 'Mimo', 'state': 'None', 'country': 'a London'}","['$8.5M', 'Froda', '125m+']",[],"March 12, 2025",[]
Atlant 3D Raises $15M in Series A+ Funding,https://www.finsmes.com/2025/03/atlant-3d-raises-15m-in-series-a-funding.html,"{'city': 'Atlant 3D', 'state': 'None', 'country': 'a Copenahagen'}",['$15M'],[],"March 12, 2025",[]
StimOxyGen Raises £1.5M in Funding,https://www.finsmes.com/2025/03/stimoxygen-raises-1-5m-in-funding.html,"{'city': 'StimOxyGen', 'state': 'None', 'country': 'a Derry'}",['£1.5M'],['Sian Farrell'],"March 11, 2025",[]
BinoFi – Next-Gen Hybrid Exchange lists on CoinMarketCap and Launches its BINO Token Presale,https://www.finsmes.com/2025/03/binofi-next-gen-hybrid-exchange-lists-on-coinmarketcap-and-launches-its-bino-token-presale.html,"{'city': 'London', 'state': 'None', 'country': 'UK'}","['0.02', '0.30']",[],"March 10, 2025",[]
